"","pwsid","district","severity","simpson","ground","surf","imported","recycled","desal","tot.source","propground","propsurf","propdesal","proprecyc","propimport","medinc","buyertier","sellertier","buyers","sellers","region","region2","PWS.name.2015","mean.pop.2015","tot.use.2015","tot.use.2013","tot.use.2015.gpcd","Population.2010","tot.use.2010","tot.use.2010.gpcd","change.tot","percent.change.tot","change.tot.gpcd","percent.change.tot.gpcd","hydrologic.region","nested","J_D_percent.change.tot","cons.st","cons.st.diff","cons.st.dummy"
"11",710001,"Antioch, City of",160.5808,0.434669257,0,2,1,0,0,3,0,0.307686338,0,0,0.692313662,69.291,0,2,0,1,"North","North","Antioch  City of",107530.083333333,4491416000,6165632000,114.435411315765,102330,5533275831,148.144823716983,-1041859831,-18.8289877971204,-33.7094124012183,-22.7543639767103,"San Joaquin River",1,-0.309423645440096,-0.28,0.0294236454400956,1
"12",710002,"Golden State Water Company - Bay Point",135.3593,0.19165974,1,0,1,0,0,2,0.107305936,0,0,0,0.892237443,49.335,0,2,0,1,"North","North","Golden State Water Company Bay Point",22258,532636744,678227160,65.5619889785664,23276,623352963,73.3724152339879,-90716219,-14.5529458243708,-7.81042625542142,-10.6449082131393,"San Francisco Bay",1,-0.251288761307812,-0.12,0.131288761307812,1
"13",710006,"Martinez, City of",135.3593,0.003173336,1,0,1,0,0,2,0.001589193,0,0,0,0.998410807,75.735,0,2,0,1,"North","North","Martinez  City of",35375,1043920705,1429352979,80.8496600997144,30191,1375417071,124.81421443295,-331496366,-24.101516041166,-43.964554333236,-35.2239963476704,"San Francisco Bay",1,-0.325194241973127,-0.2,0.125194241973127,1
"14",710007,"Diablo Water District",185.8023,0.194684457,1,0,1,0,0,2,0.109297148,0,0,0,0.890808863,78.0735,0,2,0,1,"North","North","Diablo Water District",37769.3333333333,1455193000,1992189000,105.557334089022,35646,1816619325,139.624060107034,-361426325,-19.8955455348357,-34.0667260180123,-24.3988937092197,"San Joaquin River",1,-0.321694825650284,-0.28,0.0416948256502843,1
"15",710008,"Pittsburg, City of",160.5808,0.283807282,1,0,1,1,0,3,0.113658275,0,0,0.049169791,0.837171934,57.375,0,2,0,1,"North","North","Pittsburg  City of",66183,2736480000,3299200000,113.279928069928,64967,2536424184,106.963648520397,200055816,7.88731700564798,6.31627954953075,5.90507114978064,"San Francisco Bay",1,-0.203793653937214,-0.2,0.00379365393721356,1
"16",910001,"El Dorado Irrigation District",182.1619667,0.770633098,0,4,1,1,0,6,0,0.848678032,0,0.043885363,0.107436605,70.655,0,1,0,1,"North","Central Valley","El Dorado Irrigation District",122666.666666667,9004578333,12689957974,201.114763244491,110000,9045949611,225.303850834371,-41371278,-0.457345881627419,-24.1890875898804,-10.7362069047202,"Sacramento River",1,-0.309077522746924,-0.28,0.0290775227469239,1
"17",1010001,"Bakman Water Company",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,37.5185,NA,NA,NA,NA,"North","Central Valley","Bakman Water Company",15125,1024517771,1371708134,185.58003323899,13960,1321325805,259.317385288692,-296808034,-22.4628954400841,-73.7373520497016,-28.4351748987487,"Tulare Lake",0,-0.286333766159177,-0.36,-0.0736662338408229,0
"18",1010003,"Clovis, City of",217.0267,0.648384568,2,1,1,1,0,5,0.483516677,0.470038309,0,0.039310442,0.007134573,66.917,0,1,0,1,"North","Central Valley","Clovis  City of",108231.166666667,6515115000,8840960800,164.921350168571,99519,7768613691,213.867433615967,-1253498691,-16.1354231380071,-48.9460834473958,-22.8861788912127,"Tulare Lake",1,-0.305616457186344,-0.36,-0.0543835428136562,0
"19",1010007,"Fresno, City of",216.7658,0.480043556,1,0,2,1,0,4,0.398481421,0,0,0.000545449,0.60097313,38.4345,0,1,0,2,"North","Central Valley","Fresno  City of",519021.5,36128814730,47052982128,190.710893584937,503077,43125402297,234.858256519516,-6996587567,-16.2238198239062,-44.1473629345786,-18.7974498273217,"Tulare Lake",1,-0.263355419195778,-0.28,-0.0166445808042218,0
"20",1010021,"Park Water Company",216.7658,0.36716301,1,0,1,1,0,3,0.209894119,0,0,0.023133731,0.766972151,25.542,0,3,0,1,"North","Central Valley","Park Water Company",125591.5,3209669143,3942085392,70.0175894898218,128193,3554056857,75.9568936991302,-344387714,-9.68998887346726,-5.9393042093084,-7.81930897916171,"South Coast",1,-0.214346531107243,-0.08,0.134346531107243,1
"21",1010024,"CA Water Service Co - Selma",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,44.663,NA,NA,NA,NA,"North","Central Valley","California Water Service Company Selma",24794.1666666667,1287536745,1992223040,142.271284166579,25650,1798697520,192.122355203076,-511160775,-28.418384376268,-49.8510710364974,-25.9475639801543,"Tulare Lake",0,-0.395623619346832,-0.32,0.0756236193468316,1
"22",1110003,"CA Water Service Co - Willows",155.651,0,1,0,0,0,0,1,1,0,0,0,0,47.005,NA,NA,NA,NA,"North","Central Valley","California Water Service Company Willows",7117.91666666667,340286644,491546876,130.978236891759,7200,580666482,220.953760273973,-240379838,-41.3972298128963,-89.9755233822137,-40.7214266327254,"Sacramento River",0,-0.292606585172457,-0.28,0.0126065851724566,1
"23",1210004,"Eureka, City of",56.4078,0,0,0,1,0,0,1,0,0,0,0,1,39.436,1,1,1,1,"North","North","Eureka  City of",26887.6666666667,1001107000,1131375000,102.008067048446,26066,1105938294,116.242151798017,-104831294,-9.47894602879173,-14.2340847495719,-12.2452006689493,"North Coast",1,-0.12234817635009,-0.04,0.08234817635009,1
"24",1210006,"Fortuna, City of",74.0133,0,1,0,0,0,0,1,1,0,0,0,0,46.958,NA,NA,NA,NA,"North","North","Fortuna  City of",11987.8333333333,396214000,462816000,90.551626639719,11926,439898850,101.056710445004,-43684850,-9.9306579228384,-10.5050838052855,-10.3952362579647,"North Coast",0,-0.156117478236144,-0.24,-0.0838825217638563,0
"25",1210009,"Humboldt Community Services District",56.4078,0.454977987,1,0,2,0,0,3,0.349963316,0,0,0,0.650036684,51.088,0,2,0,2,"North","North","Humboldt Community Service District",20032,732797498,794653307,100.222862324391,20032,591093714,80.8423938137336,141703784,23.973150220305,19.3804685106569,23.973150220305,"North Coast",1,-0.0811922088617177,-0.24,-0.158807791138282,0
"26",1210016,"McKinleyville Community Services District",56.4078,0,0,0,1,0,0,1,0,0,0,0,1,48.086,0,1,0,1,"North","North","McKinleyville Community Service District",16900,433968000,514645000,70.3522736483748,15998,466618632,79.9104394898677,-32650632,-6.99728424046299,-9.55816584149294,-11.9610978271554,"North Coast",1,-0.154166615739749,-0.04,0.114166615739749,1
"27",1210021,"Arcata, City of",56.4078,0.29881802,1,0,1,0,0,2,0.182839173,0,0,0,0.817160827,59.6875,0,1,0,1,"North","North","Arcata  City of",18412.5,632504000,671868000,94.1147411395996,19546,529182024,74.1744481931629,103321976,19.524846142544,19.9402929464367,26.8829676959763,"North Coast",1,-0.0279510837880295,-0.04,-0.0120489162119705,0
"28",1310001,"Brawley, City of",-13.9743,0,0,0,1,0,0,1,0,0,0,0,1,42.273,0,1,0,1,"South","South","Brawley  City of",27743,1538790000,2785720000,151.961324070887,27743,2504490786,247.327923864788,-965700786,-38.5587677702081,-95.3665997939009,-38.5587677702081,"Colorado River",1,-0.419978644993292,-0.32,0.0999786449932916,1
"29",1310004,"El Centro, City of",-13.9743,0,0,0,1,0,0,1,0,0,0,0,1,33.912,0,1,0,1,"South","South","El Centro  City of",44355.6666666667,2343193000,2676711000,144.732507292907,46640,2429545056,142.716291266242,-86352056,-3.55424797686897,2.01621602666449,1.41274412947235,"Colorado River",1,-0.126049535720117,-0.24,-0.113950464279883,0
"30",1310006,"Imperial, City of",-13.9743,0,0,0,1,0,0,1,0,0,0,0,1,55.043,0,1,0,1,"South","South","Imperial, City of",18022,824921000,924025000,125.405478539928,13730,838414623,167.299808039589,-13493623,-1.60942123739652,-41.8943294996617,-25.0414689595746,"Colorado River",1,-0.113493697632612,-0.24,-0.126506302367388,0
"31",1500333,"CA Water Service Co - Antelope Valley",144.0867,0.283164783,1,0,1,0,0,2,0.828389831,0,0,0,0.170550847,30.0225,0,2,0,1,"South","South","California Water Service Company Antelope Valley",3392.58333333333,176155282,290203281,142.256553057082,3423,290659092,232.639871297708,-114503810,-39.3945392219143,-90.3833182406265,-38.8511727316782,"South Lahontan",1,-0.481974099870348,-0.36,0.121974099870348,1
"32",1510003,"CA Water Service Co - Bakersfield",217.0267,0.490185083,1,0,2,0,0,3,0.570053254,0,0,0,0.429946746,38.036,1,2,1,1,"North","Central Valley","California Water Service Company Bakersfield",278488.416666667,17932483827,24775363794,176.41700600969,260100,23136398553,243.703934240255,-5203914726,-22.4923283287979,-67.2869282305655,-27.610111605433,"Tulare Lake",1,-0.312265385062116,-0.32,-0.00773461493788374,0
"33",1510005,"Delano, City of",217.0267,0.450140863,1,0,0,1,0,2,0.657891002,0,0,0.342108998,0,42.481,NA,NA,NA,NA,"North","Central Valley","Delano  City of",52977.75,2647502000,3170251000,136.914650716316,48957,2045040876,114.444343302663,602461124,29.4596128160717,22.4703074136524,19.6342665484363,"Tulare Lake",0,-0.201914660749296,-0.24,-0.0380853392507041,0
"34",1510006,"East Niles Community Services District",217.0267,0.488144543,1,0,1,0,0,2,0.423008257,0,0,0,0.576991743,41.54,0,2,0,1,"North","Central Valley","East Niles Community Service District",28886,2445189109,3299245699,231.916784734322,24062,2515243869,286.388458696313,-70054760,-2.78520746490686,-54.4716739619914,-19.0202057058987,"Tulare Lake",1,-0.287397815440027,-0.36,-0.0726021845599734,0
"35",1510015,"Oildale Mutual Water Company",217.0267,0.041357067,1,0,1,0,0,2,0.02112479,0,0,0,0.97887521,37.708,0,3,0,1,"North","Central Valley","Oildale Mutual Water Company",32135.8333333333,2558585406,3406124966,218.131048833451,23386,2329182948,272.8693724966,229402458,9.84905278466773,-54.7383236631483,-20.0602666258671,"Tulare Lake",1,-0.28088106514422,-0.36,-0.0791189348557801,0
"36",1510017,"Indian Wells Valley Water District",52.08595,0.402723649,1,0,0,1,0,2,0.720540643,0,0,0.279459357,0,56.6025,NA,NA,NA,NA,"South","South","Indian Wells Valley Water District",31120,1967849458,2530320000,173.244485156883,31120,2463759411,216.903142145297,-495909953,-20.1281809735926,-43.6586569884143,-20.1281809735926,"South Lahontan",0,-0.236059351167934,-0.36,-0.123940648832066,0
"37",1510018,"Rosamond Community Services District",144.0867,0.174817898,1,0,1,0,0,2,0.903225806,0,0,0,0.096774194,54.423,0,2,0,1,"South","South","Rosamond Community Service District",17700,727600000,968500000,112.622862007585,17700,959957046,148.588661249129,-232357046,-24.204941978206,-35.9657992415448,-24.204941978206,"South Lahontan",1,-0.196701011063287,-0.28,-0.0832989889367134,0
"38",1510019,"Shafter, City of",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,40.996,NA,NA,NA,NA,"North","Central Valley","Shafter  City of",18845,1.398e+09,1.867e+09,203.244201979378,18488,1543882038,228.78698630137,-145882038,-9.44904043245304,-25.5427843219923,-11.1644393481131,"Tulare Lake",0,-0.242737782728607,-0.36,-0.117262217271393,0
"39",1510021,"Wasco, City of",217.0267,0.407563792,1,0,0,1,0,2,0.714983962,0,0,0.285016038,0,41.896,NA,NA,NA,NA,"North","Central Valley","Wasco  City of",25327.5,1171379000,1472351000,126.710395192837,19511,1451992056,203.888085049319,-280613056,-19.3260737784643,-77.177689856482,-37.8529671499997,"Tulare Lake",0,-0.194099805267812,-0.36,-0.165900194732188,0
"40",1510022,"West Kern Water District",216.2163333,0,0,0,5,0,0,5,0,0,0,0,1,43.203,0,2,0,5,"North","Central Valley","West Kern Water District",21181,4827290122,5979696280,624.401699119074,18048,8057969379,1223.21744434931,-3230679257,-40.092970139841,-598.815745230241,-48.9541534905741,"Tulare Lake",1,-0.109824894889487,-0.28,-0.170175105110513,0
"41",1510029,"Vaughn Water Company",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,92.5115,NA,NA,NA,NA,"North","Central Valley","Vaughn Water Company",30449.3333333333,3208559855,4222720215,288.69515299313,27421,3618249504,361.511700511507,-409689649,-11.3228689328109,-72.8165475183768,-20.1422381116152,"Tulare Lake",0,-0.25999650084617,-0.36,-0.10000349915383,0
"42",1510031,"Bakersfield, City of",217.0267,0.212914089,1,0,2,0,0,3,0.878870632,0,0,0,0.121129368,68.75,0,3,0,2,"North","Central Valley","Bakersfield  City of",142521.25,11014321371,14684731762,211.731393979821,130600,14080021710,295.370612137867,-3065700339,-21.773406335181,-83.6392181580463,-28.3167027188903,"Tulare Lake",1,-0.280341392766396,-0.36,-0.0796586072336039,0
"43",1510049,"CA Water Service Co - Kern River Vly",214.3257,0.340042178,1,1,0,0,0,2,0.78280543,0.21719457,0,0,0,19.211,NA,NA,NA,NA,"North","Central Valley","California Water Service Company Kern River Valley",5580.16666666667,222752034,277625415,109.365827521068,6355,286097178,123.340343812983,-63345144,-22.1411285643649,-13.974516291915,-11.3300448660206,"Tulare Lake",0,-0.203448808048656,-0.28,-0.0765511919513441,0
"44",1610003,"Hanford, City of",217.0267,0,1,0,0,0,0,1,1,0,0,0,0,46.875,NA,NA,NA,NA,"North","Central Valley","Hanford  City of",57050,3788947751,4407424300,181.957559506801,54200,3965932521,200.471744477582,-176984770,-4.46262686172416,-18.5141849707805,-9.23530895539788,"Tulare Lake",0,-0.155372664871725,-0.28,-0.124627335128275,0
"45",1810001,"Susanville, City of",191.9662,0.655108253,3,0,0,0,0,3,1,0,0,0,0,44.864,NA,NA,NA,NA,"North","Central Valley","Susanville  City of",9097.08333333333,846043000,1027451000,254.798812153778,9791,1190985405,333.262558709914,-344942405,-28.9627734774802,-78.4637465561364,-23.5441229461467,"North Lahontan",0,-0.244733662673376,-0.36,-0.115266337326624,0
"46",1910003,"Arcadia, City of",194.8976,0.406597754,2,0,1,0,0,3,0.981896443,0,0,0,0.018103557,80.37,0,2,0,1,"South","South","Arcadia  City of",57394.5,4379892853,5698088958,209.074152515926,54500,5147794098,258.78065089858,-767901245,-14.9170932321932,-49.7064983826533,-19.2079655917297,"South Coast",1,-0.270551588935245,-0.36,-0.0894484110647547,0
"47",1910004,"Golden State Water Company - Artesia",193.8227,0.147979121,1,0,1,1,0,3,0.920363442,0,0,0.009976839,0.069659719,72.4825,0,4,0,1,"South","South","Golden State Water Company Artesia",47978,1629713326,1865988196,93.062820802,52974,1763831463,91.2223914962678,-134118137,-7.60379547668835,1.84042930573226,2.01751924669455,"South Coast",1,-0.156688762926126,-0.16,-0.0033112370738736,0
"48",1910007,"Azusa, City of",193.8227,0.359337881,1,1,0,0,0,2,0.765200037,0.234799963,0,0,0,52.206,NA,NA,NA,NA,"South","South","Azusa  City of",110000,5554730056,6845810867,138.349440996264,108500,7021111497,177.289602853355,-1466381441,-20.8853176826285,-38.9401618570912,-21.9641542596835,"South Coast",0,-0.208698744935431,-0.2,0.00869874493543063,1
"49",1910011,"Golden State Water Company - Bell-Bell Gardens",195.9725,0.069634414,1,0,1,1,0,3,0.96399775,0,0,0.024376524,0.011438215,36.6885,0,3,0,1,"South","South","Golden State Water Company Bell-Bell Gardens",57934,1509246055,1705017592,71.372953682296,69119,1671615630,66.2591884910816,-162369575,-9.7133319458134,5.11376519121441,7.71782043769329,"South Coast",1,-0.138421977861902,-0.08,0.058421977861902,1
"50",1910019,"Cerritos, City of",193.8227,0.313951942,1,0,1,1,0,3,0.81168265,0,0,0.163034002,0.025283348,84.474,1,3,1,1,"South","South","Cerritos  City of",49041,2261092827,2839788669,126.318282018987,54547,3127192047,157.069122845172,-866099220,-27.6957477181765,-30.7508408261852,-19.5779031990248,"South Coast",1,-0.222654083638435,-0.28,-0.0573459163615653,0
"51",1910024,"Golden State Water Company - Claremont",151.22935,0.52246128,2,0,1,0,0,3,0.546421846,0,0,0,0.453578154,68.1105,0,3,0,1,"South","South","Golden State Water Company Claremont",37160,2619226355,3781375470,193.109865889084,35248,3166620018,246.132299199721,-547393663,-17.2863703219349,-53.0224333106376,-21.5422492224855,"South Coast",1,-0.351756249013548,-0.32,0.0317562490135484,1
"52",1910026,"Compton, City of",195.9725,0.413073853,1,0,1,0,0,2,0.708477993,0,0,0,0.291522007,44.455,0,2,0,1,"South","South","Compton  City of",81963,2285521907,2587260330,76.3967138195835,81963,2317126461,77.4531395138368,-31604554,-1.36395464520139,-1.05642569425328,-1.36395464520137,"South Coast",1,-0.12990664614189,-0.08,0.0499066461418905,1
"53",1910028,"Crescenta Valley Water District",195.9725,0.47544247,1,0,1,0,0,2,0.610809588,0,0,0,0.389190412,92.4505,0,3,0,1,"South","South","Crescenta Valley Water District",31907,1188305211,1565442391,102.034999061914,31612,1440913122,124.880019725473,-252607911,-17.5310993524286,-22.8450206635586,-18.293575476509,"South Coast",1,-0.285575425917366,-0.2,0.0855754259173658,1
"54",1910030,"Golden State Water Company - Culver City",196,0,0,0,1,0,0,1,0,0,0,0,1,74.5455,0,3,0,1,"South","South","Golden State Water Company Culver City",36215,1610227410,1884854994,121.816428143186,36704,1637075424,122.197530185953,-26848014,-1.63999859788989,-0.381102042766685,-0.311873768796102,"South Coast",1,-0.176378849301241,-0.16,0.0163788493012411,1
"55",1910033,"CA Water Service Co - Dominguez District",195.98625,0.52980485,1,0,1,1,0,3,0.228843639,0,0,0.140135038,0.631021323,67.727,0,3,0,1,"South","South","California Water Service Company Dominguez",142227.25,10195956321,11038901377,196.404886594161,143830,10545841764,200.881020382701,-349885443,-3.31775737612897,-4.47613378854015,-2.22825122055465,"South Coast",1,-0.174158499051546,-0.16,0.0141584990515459,1
"56",1910034,"Downey, City of",194.8976,0.083714266,1,0,0,1,0,2,0.956226771,0,0,0.043773229,0,61.6655,NA,NA,NA,NA,"South","South","Downey  City of",111931,4491946643,5431216638,109.949014406258,110457,5024296569,124.620405039536,-532349926,-10.5955116042434,-14.6713906332784,-11.7728638649697,"South Coast",0,-0.205847825176452,-0.2,0.00584782517645155,1
"57",1910036,"CA Water Service Co - East Los Angeles District",195.9725,0.498214998,1,0,1,0,0,2,0.470125241,0,0,0,0.529874759,42.5,0,3,0,1,"South","South","California Water Service Company East Los Angeles",157505.583333333,4649378500,5308999545,80.8734713912548,150890,5403587133,98.1135152070319,-754208633,-13.9575547582828,-17.2400438157771,-17.571528019762,"South Coast",1,-0.153918983236886,-0.08,0.0739189832368857,1
"58",1910038,"El Monte, City of",195.9725,0,1,0,0,0,0,1,1,0,0,0,0,40.867,NA,NA,NA,NA,"South","South","El Monte  City of",22968,693215000,758081800,82.6897935424152,22968,737400813,87.9604754440961,-44185813,-5.99210256091757,-5.27068190168096,-5.99210256091757,"South Coast",0,-0.15153289486445,-0.08,0.0715328948644504,1
"59",1910042,"Pico Rivera, City of",194.8976,0.010284535,1,0,0,1,0,2,0.995028833,0,0,0.005170014,0,61.008,NA,NA,NA,NA,"South","South","Pico Rivera  City of",39002,1433746278,1661190576,100.714629878482,39002,1562781396,109.778802773023,-129035118,-8.25676056358685,-9.06417289454069,-8.25676056358683,"South Coast",0,-0.187623877339723,-0.16,0.0276238773397234,1
"60",1910043,"Glendale, City of",195.9725,0.565911079,2,0,1,1,0,4,0.349571429,0,0,0.059357143,0.591071429,59.643,0,2,0,1,"South","South","Glendale  City of",193300,7436887566,9007967190,105.406282604228,210293,8618107248,112.277882450897,-1181219682,-13.7062541461656,-6.8715998466695,-6.12017228742683,"South Coast",1,-0.224700394796303,-0.2,0.0247003947963026,1
"61",1910044,"Glendora, City of",193.8227,0.11318861,1,1,1,0,0,3,0.939750811,0.000768049,0,0,0.059395801,76.967,1,3,1,1,"South","South","Glendora  City of",50571.6666666667,2945237449,4137039043,159.558587401847,48200,3818322018,217.036435968851,-873084569,-22.86566101246,-57.4778485670042,-26.4830411126237,"South Coast",1,-0.312439703643691,-0.36,-0.0475602963563094,0
"62",1910047,"Hawthorne, City of",196,0.038927619,0,0,1,1,0,2,0,0,0,0.019858156,0.980141844,45.931,0,3,0,1,"South","South","Hawthorne  City of",44503.6666666667,1324227614,1420712221,81.5218415023625,46283,1313831232,77.772348852015,10396382,0.791302699066907,3.74949265034753,4.82111278069029,"South Coast",1,-0.0952837923535978,-0.16,-0.0647162076464022,0
"63",1910049,"Huntington Park, City of",195.9725,0.413774905,1,0,1,1,0,3,0.714431725,0,0,0.010425184,0.275143091,39.041,0,3,0,1,"South","South","Huntington Park  City of",64219,1382261752,1559199079,58.9703747898618,64219,1488487368,63.5021969130887,-106225616,-7.13648085188184,-4.53182212322688,-7.13648085188185,"South Coast",1,-0.136741750815765,-0.08,0.056741750815765,1
"64",1910052,"CA-American Water - Los Angeles",196,0.578240559,3,1,3,0,0,7,0.823700276,0.082315872,0,0,0.093983852,70.119,0,3,0,3,"South","South","California-American Water Company Los Angeles District",102889,5595312158,7298619032,148.991848989541,102889,6112964760,162.775891081984,-517652602,-8.46811035763275,-13.7840420924425,-8.46811035763275,"South Coast",1,-0.28102179079892,-0.28,0.00102179079892006,1
"65",1910062,"La Verne, City of",193.8227,0.449415425,1,0,1,0,0,2,0.340964508,0,0,0,0.659035492,69.188,0,3,0,1,"South","South","La Verne  City of",32228,2148396461,2745203773,182.636766208572,28932,2405269156.5,227.767818020147,-256872695.5,-10.6795821501235,-45.1310518115752,-19.8144989067697,"South Coast",1,-0.255662934248958,-0.32,-0.0643370657510422,0
"66",1910063,"Lincoln Avenue Water Company",195.9725,0.338735024,1,0,1,0,0,2,0.216041397,0,0,0,0.783958603,83.733,0,3,0,1,"South","South","Lincoln Avenue Water Company",16126,606266131,822973622,103.001556407673,16126,755648469,128.380861843122,-149382338,-19.7687607569281,-25.3793054354493,-19.7687607569281,"South Coast",1,-0.288073627656106,-0.28,0.00807362765610575,1
"67",1910065,"Long Beach Water Department",195.2650667,0.568160449,1,0,1,1,0,3,0.54619531,0,0,0.10332871,0.35047598,58.875,0,2,0,1,"South","South","Long Beach  City of",473740.5,17071356260,19564771380,98.7267060099214,462257,17637662928,104.535711057488,-566306668,-3.21078064770691,-5.80900504756693,-5.5569575112684,"South Coast",1,-0.160560444018777,-0.16,0.000560444018776751,1
"68",1910067,"Los Angeles Department of Water and Power",197.184975,0.625112315,1,2,1,1,0,5,0.138587196,0.359581045,0,0.026789588,0.475042171,51.646,0,2,0,1,"South","South","Los Angeles Department of Water and Power",4003629.5,158095943651,183022600261,108.18672698025,4100260,177840026121,118.829768911413,-19744082470,-11.102159002477,-10.6430419311634,-8.95654517269798,"South Coast",1,-0.163580616393327,-0.16,0.00358061639332743,1
"69",1910073,"Lomita, City of",196,0.46408742,1,0,1,0,0,2,0.365998917,0,0,0,0.634001083,60.861,0,3,0,1,"South","South","Lomita  City of",20463,661478395,784327644,88.5632397665282,20463,763143042,102.174796207522,-101664647,-13.3218337067666,-13.6115564409938,-13.3218337067666,"South Coast",1,-0.178231550066394,-0.2,-0.0217684499336065,0
"70",1910077,"Golden State Water Company - Florence-Graham",195.9725,0.451198352,1,0,1,0,0,2,0.656207631,0,0,0,0.343792369,33.625,0,3,0,1,"South","South","Golden State Water Company Florence Graham",65492,1533033209,1669695296,64.1313593043676,62451,1560174588,68.4448755989079,-27141379,-1.73963729500253,-4.31351629454029,-6.30217566588596,"South Coast",1,-0.0940750283895769,-0.08,0.0140750283895769,1
